Diet	Korean	Korean	Korean	Korean	Korean	Korean	Western	Western	Western	Western	Western	Western
Roseburia sp. 499	414	557	1586	2152	463	2568	834	882	784	1067	357	5373
Coprococcus sp. ART55/1	30416	45346	2064	2096	38034	2666	2986	182228	405	848	794	1671
Coprococcus comes	7889	12677	33765	47845	83021	31038	122899	63732	58544	32261	22560	15768
Coprococcus eutactus	5016	6777	5048	5698	5828	5771	1029	32798	1701	2230	1198	1675
Coprococcus catus	1128	3565	1259	1414	15765	15186	4737	17487	4949	7491	18742	19722
Anaerostipes hadrus	40150	111593	457984	195595	50488	108777	652	29127	23704	31722	96099	82775
Anaerostipes caccae	106	175	81	133	174	75	41	105	32	25	776	1743
Anaerostipes rhamnosivorans	43	47	22	26	51	121	297	47	85	53	67	76
Anaerostipes sp. PC18	44	53	65	95	89	59	76	82	33	35	70	149
Simiaoa sunii	11898	11342	24485	21608	4713	408401	295566	222799	100920	91006	11418	13741
Enterocloster bolteae	3826	4054	2740	6392	8810	1494	29191	1370	620	649	8901	11788
Enterocloster clostridioformis	4092	6124	1376	3667	977	3230	1683	853	471	480	3518	2483
Enterocloster asparagiformis	815	825	3533	5354	1397	1565	4561	650	532	828	4854	1350
Enterocloster lavalensis	502	554	480	402	836	839	4802	323	220	233	2538	2847
Hungatella sp. SB206	4141	3014	2574	2760	20499	753	1177	452	226	282	1860	2695
Hungatella hathewayi	1057	1525	2516	2452	4466	2281	2299	841	352	382	6470	7370
Lachnospira eligens	7585	58842	97744	165979	72296	147944	443991	170679	226328	374251	18006	10376
[Clostridium] scindens	2066	2879	2555	3851	5619	2051	3555	5638	1040	1054	3542	4088
[Clostridium] hylemonae	328	854	675	693	1592	2023	2656	508	187	604	1147	3333
Lachnoclostridium phytofermentans	60	51	84	102	53	117	41	94	27	47	43	47
Eshraghiella crossota	2313	4301	3157	3745	1446	6126	2786	2965	1411	1163	1497	2494
Sellimonas catena	1099	1726	19056	30390	2139	2932	2853	6360	589	740	3522	4977
Sellimonas intestinalis	311	409	241	359	464	326	687	468	136	166	941	1197
Sellimonas caecigallum	262	491	609	567	436	415	159	285	74	63	304	556
Eisenbergiella porci	1279	1519	2080	1330	5003	955	4465	1420	365	377	11862	22751
Wujia chipingensis	1490	17279	1550	925	193926	68045	892	53566	63400	105290	793	1666
[Clostridium] symbiosum	1126	1084	806	436	1955	382	280	267	132	112	2033	1083
Lacrimispora sp. HJ-01	353	348	87	177	127	365	111	117	44	101	616	910
Lacrimispora sp. BS-2	47	49	74	92	20	67	44	87	23	47	58	126
Lacrimispora saccharolytica	178	215	133	249	91	362	167	259	130	119	155	302
Lacrimispora xylanisolvens	90	130	102	218	52	309	82	196	48	62	101	203
Lacrimispora xylanolytica	69	83	95	92	44	56	115	74	195	99	97	158
Lacrimispora sinapis	58	37	59	55	39	130	27	44	28	49	23	50
Lacrimispora sphenoides	52	26	41	72	29	108	39	68	34	50	48	81
Butyrivibrio fibrisolvens	152	167	186	280	208	480	323	259	582	313	153	217
Butyrivibrio proteoclasticus	102	124	163	337	48	377	82	259	53	86	46	272
Butyrivibrio sp. JL13D10	94	154	194	233	106	281	149	158	115	136	98	185
Butyrivibrio hungatei	54	87	55	133	28	170	97	116	53	70	29	63
Claveliimonas bilis	430	543	403	308	2453	352	433	442	495	710	566	1242
Wansuia hejianensis	403	627	334	426	765	661	2107	1128	192	211	1350	1462
Anaerocolumna sp. AGMB13020	49	121	63	41	30	125	23	179	31	33	62	389
Anaerocolumna sp. MB42-C2	51	31	74	81	91	153	77	64	47	38	28	46
Anaerocolumna sp. AGMB13025	32	89	53	42	59	157	166	134	38	49	43	215
Anaerocolumna chitinilytica	62	75	85	58	31	119	41	61	76	30	90	138
Anaerocolumna cellulosilytica	47	55	77	95	47	182	36	109	24	39	32	267
Anaerocolumna sedimenticola	50	119	57	99	36	166	71	105	37	43	49	236
Qiania dongpingensis	205	213	127	136	183	176	833	626	95	85	298	282
Lachnoanaerobaculum gingivalis	129	162	197	365	202	318	96	242	91	101	114	324
Lachnoanaerobaculum umeaense	51	91	36	68	35	139	32	75	28	25	38	83
Faecalimonas umbilicata	193	282	327	417	447	495	191	100433	214	329	675	727
Kineothrix sp. MB12-C1	80	108	45	74	60	191	71	87	56	68	29	114
Kineothrix sedimenti	55	53	74	60	18	417	147	137	90	92	39	105
Marvinbryantia formatexigens	131	264	496	866	318	676	1772	1161	233	229	949	943
Novisyntrophococcus fermenticellae	123	159	96	157	177	444	171	160	157	173	116	321
Stomatobaculum sp. F0698	84	78	27	50	52	73	92	65	43	32	52	51
Pseudobutyrivibrio xylanivorans	68	51	86	97	64	242	82	86	331	241	36	31
Hominifimenecus sp. rT4P-3	53	56	48	53	74	132	68	72	29	39	56	39
Anaeromicropila herbilytica	44	52	103	59	60	195	21	83	38	40	26	57
Chordicoccus furentiruminis	44	31	24	82	65	37	136	74	36	46	49	144
Anaeropeptidivorans aminofermentans	38	27	26	41	25	24	0	11	19	18	931	31
Chakrabartyella piscis	37	64	12	50	29	48	5	47	18	39	37	109
Herbinix luporum	32	42	49	76	55	189	66	123	22	26	14	96
Anaerotignum propionicum	55	30	16	37	16	109	10	40	16	19	25	56
Anaerotignum sp. MB30-C6	33	21	10	22	39	32	26	16	13	23	18	49
Vallitalea guaymasensis	30	31	30	137	16	93	19	79	8	14	0	86
Vallitalea pronyensis	27	23	18	5	19	57	0	31	11	14	31	15
Defluviitalea saccharophila	8	5	5	5	13	23	54	36	0	5	27	179
Faecalibacterium prausnitzii	55192	56809	46300	123868	55851	85124	155608	145659	31908	64265	177039	152831
Faecalibacterium sp. i21-0019-B1	8497	8038	2018	4950	8133	3571	15870	8900	1819	2848	39886	45552
Faecalibacterium sp. I4-3-84	5997	5992	7342	9457	19464	14011	19183	13439	4376	5392	25518	40154
Faecalibacterium sp. I3-3-89	2109	2270	1110	2584	2095	4100	4489	5172	1242	2911	8588	4585
Faecalibacterium sp. I4-1-79	2627	3646	1232	2746	10695	4035	6506	7020	2430	4606	2652	3059
Faecalibacterium sp. I3-3-33	1965	1920	473	1049	5209	1842	6102	4842	1338	2823	1101	1081
Faecalibacterium sp. I2-3-92	4004	6523	5251	13178	6312	5034	19528	7460	5608	6888	5340	9052
Faecalibacterium sp. IP-1-18	7425	6041	3470	6720	5114	9715	15294	9694	4749	9129	5350	6392
Faecalibacterium sp. IP-3-29	3201	5232	7592	12619	8110	8324	12667	7887	3175	6523	13691	29699
Faecalibacterium sp. i25-0019-C1	4230	4216	3779	6904	10622	4358	12417	9592	3270	4881	21555	27641
Faecalibacterium sp. 7	1174	1129	1396	2820	1307	4242	4731	2082	3262	8029	6839	7365
Faecalibacterium taiwanense	12030	11160	5157	8428	13544	7858	23471	14601	4161	5821	64237	64996
Faecalibacterium duncaniae	4756	9146	38878	83193	18506	7420	60009	22757	9450	10969	45631	55024
Faecalibacterium wellingii	1938	1969	1100	2084	2131	4488	4287	2106	4361	9635	4032	4254
Faecalibacterium hominis (ex Afrizal et al. 2022)	2409	3929	1503	4802	4314	2087	7731	1675	1658	3585	4405	5443
Ruminococcus bicirculans (ex Wegman et al. 2014)	62796	100635	238394	159965	61784	4803	1614	1061	333	298	253	1553
Ruminococcus sp. SR1/5	12005	22359	71742	111466	46082	39393	8724	20054	35198	17978	24510	38797
Ruminococcus sp. JL13D9	1358	165	8	10	276	152	2797	5165	207	664	36	64
Ruminococcus sp. JE7B6	647	127	5	16	217	104	1674	2136	58	68	51	32
Ruminococcus callidus	1164	5383	5248	10316	987	24365	548	84760	2831	4951	434	1037
Ruminococcus champanellensis	320	896	189	145	185	647	495	1608	600	215	468	504
Ruminococcus bovis	261	333	39	108	251	451	348	384	121	125	161308	278165
Ruminococcus gauvreauii	135	196	111	167	125	399	200	271	95	65	284	209
Ruminococcus albus	59	142	84	70	109	281	149	185	65	109	215	254
Vescimonas coprocola	14292	11983	876	1995	14511	4785	4893	11853	7007	21141	25454	15521
Vescimonas fastidiosa	2285	2673	354	753	3753	5998	2691	8346	4301	2483	19575	26545
Flavonifractor plautii	6838	10895	20872	32427	28801	2648	13912	6792	2864	5361	18128	33270
Ruthenibacterium lactatiformans	5583	6388	1519	7290	60174	1824	6381	5435	879	1272	22695	28819
Lawsonibacter asaccharolyticus	5467	4202	3005	4705	11706	797	6429	5165	1142	1507	2828	2767
Oscillibacter sp. PEA192	14298	14667	3623	9570	10198	5778	11321	10549	4646	8388	37217	57104
Oscillibacter hominis	816	1162	4345	4596	3478	544	1725	3424	1046	1012	11143	19722
Dysosmobacter welbionis	13789	14042	3496	11438	16098	9535	12353	18137	8336	6562	35275	58953
Anaerotruncus colihominis	3149	2847	2123	5141	9078	2845	2155	3172	615	930	13160	10057
Pusillibacter faecalis	1939	2421	229	609	3565	1010	3039	1828	723	2510	10716	8967
Subdoligranulum variabile	888	1123	471	1225	3824	969	5109	7702	804	1510	5040	6397
uncultured Subdoligranulum sp.	263	410	468	1123	5601	262	760	1028	203	526	1415	1159
Solibaculum mannosilyticum	1148	243	730	789	444	104	206	301	194	495	1020	665
Owariibacterium komagatae	696	984	263	512	4004	368	2416	1707	394	412	5392	7107
Pseudoflavonifractor gallinarum	453	595	286	1618	978	234	1246	561	343	670	1202	1013
Caproicibacterium sp. BJN0003	63	0	18	114	56	33	32	31	15	42	43	28
Caproicibacterium amylolyticum	160	329	90	106	169	125	220	297	65	47	140	18
Ruminiclostridium cellulolyticum	48	38	43	37	25	50	32	58	10	12	11	35
Ruminiclostridium papyrosolvens	32	47	0	0	0	12	7	34	0	0	36	115
Ruminiclostridium herbifermentans	9	23	34	40	19	36	12	38	0	0	64	159
Mageeibacillus indolicus	58	81	145	67	166	86	257	131	26	68	187	122
Ethanoligenens harbinense	45	36	7	14	33	40	31	59	23	16	108	118
Amygdalobacter nucleatus	26	32	0	66	40	555	88	55	42	33	17	16
Amygdalobacter indicium	12	0	64	47	10	16	28	48	16	19	49	201
Petroclostridium sp. X23	33	12	11	13	21	31	15	22	13	5	12	21
Thermocaproicibacter melissae	15	5	22	22	48	41	28	36	29	11	117	73
Acetivibrio thermocellus	11	12	19	9	6	18	18	7	9	0	0	8
Bengtsoniella intestinalis	14	27	8	17	45	30	39	35	158	31	40	25
Paludihabitans sp. MB14-C6	13	17	20	6	18	40	144	65	11	10	154	164
Thermoclostridium stercorarium	7	10	6	0	7	10	11	9	0	10	89	29
Fastidiosipila sanguinis	7	9	10	0	0	223	0	39	30	7	0	31
Eubacterium ramulus	16919	14502	3366	3760	23929	14678	2676	15890	4822	7516	27097	29733
Eubacterium ventriosum	2395	5603	57005	78403	72308	22257	1859	57540	1394	3921	62615	14773
Eubacterium callanderi	315	460	437	306	498	772	451	469	382	257	3436	2980
Eubacterium sp. MSJ-33	235	859	1180	871	9606	8045	385	3696	4043	6423	136	497
Eubacterium maltosivorans	47	70	21	42	84	31	69	117	55	26	213	101
Eubacterium limosum	41	44	64	51	178	45	60	68	9	13	180	255
Eubacterium sp. F2	29	23	29	30	46	31	57	26	8	22	16	33
Pseudoramibacter alactolyticus	15	12	0	0	6	0	20	22	21	10	39	39
Anaerofustis stercorihominis	7	6	0	5	41	7	878	56	9	15	48	34
Alkalibacter rhizosphaerae	6	8	0	6	0	0	7	19	6	6	17	0
Clostridium sp. M62/1	1764	2041	4516	9014	3090	9743	5171	4508	645	681	5065	6588
Clostridium sp. SY8519	310	279	579	1199	87	234	368	989	138	186	328	621
Clostridium sp. HCS.1	248	160	162	418	271	62	234	742	19	6	27	43
Clostridium sp. C1	447	605	75	268	758	35	264	274	0	0	1037	743
Clostridium sp. MD294	42	42	14	7	20	27	5	20	9	18	33	100
Clostridium sp. MB05	43	23	63	20	14	18	64	102	7	0	0	13
Clostridium sp. BJN0001	29	16	183	25	9	70	17	45	20	18	6	21
Clostridium sp. DL-VIII	12	17	163	19	12	18	13	43	8	5	7	66
Clostridium sp. OS1-26	9	9	53	24	14	44	69	71	13	13	5	9
Clostridium sp. MB40-C1	9	20	50	0	0	5	9	41	11	0	0	0
Clostridium sp. LQ25	29	0	0	0	30	133	269	849	1024	588	94	42
Clostridium sp. JN-9	8	13	31	0	15	19	29	19	0	0	0	91
Clostridium sp. JN-1	8	7	27	5	20	58	0	19	20	14	0	0
Clostridium sp.	7	6	29	0	10	82	0	9	5	7	0	8
Clostridium sp. 'deep sea'	5	0	8	8	5	0	0	11	0	6	0	0
[Clostridium] innocuum	2111	2548	4642	4586	9875	3658	5298	6199	1380	1616	3940	13046
Clostridium cadaveris	341	776	93	49	145	202	463	599	68	63	1002	446
Clostridium perfringens	369	492	1251	971	519	857	833	7535	716	181	418	713
Clostridium septicum	79	84	196	233	12	13	45	961	17	0	28	36
Clostridium taeniosporum	52	33	135	126	0	53	23	86	9	8	0	6
Clostridium intestinale	43	37	190	112	90	96	31	138	44	12	12	21
Clostridium baratii	45	60	267	55	9	79	50	257	29	22	0	20
Clostridium botulinum	44	34	731	48	44	75	123	175	56	20	28	44
Clostridium felsineum	37	21	9	0	5	32	17	88	58	11	130	136
Clostridium gasigenes	38	41	99	123	5	44	23	148	13	0	0	8
Clostridium estertheticum	36	33	105	26	43	164	28	57	85	20	12	52
Clostridium isatidis	35	35	155	38	8	34	42	110	48	6	27	16
Clostridium chauvoei	30	24	162	38	8	20	21	242	13	0	22	36
Clostridium bornimense	29	20	103	73	74	22	22	56	8	0	10	15
Clostridium culturomicium	23	28	33	65	17	17	89	114	0	0	15	20
Clostridium saccharoperbutylacetonicum	21	48	114	20	8	51	14	66	34	9	9	164
Clostridium pasteurianum	19	29	74	57	22	149	7	36	27	28	11	33
Clostridium butyricum	26	57	251	120	12	80	41	1168	244	157	12	74
Clostridium cochlearium	19	32	122	202	0	206	98	103	13	24	27	27
Clostridium beijerinckii	15	18	156	37	11	34	22	100	11	11	12	19
Clostridium thermarum	12	10	105	56	15	44	15	60	8	9	5	0
Clostridium gelidum	12	7	79	17	0	43	6	39	5	0	0	8
Clostridium thermosuccinogenes	12	19	0	46	16	24	31	35	0	0	7	14
Clostridium novyi	13	14	23	7	0	77	8	55	7	11	0	0
Clostridium argentinense	10	19	60	32	11	40	7	34	0	6	6	0
Clostridium manihotivorum	9	11	115	9	5	30	49	74	11	0	5	7
Clostridium saccharobutylicum	9	7	141	30	5	23	22	61	11	9	0	0
Clostridium caseinilyticum	9	10	22	0	10	0	14	36	0	0	13	9
Clostridium tetani	8	12	46	16	7	10	34	26	16	14	5	10
Clostridium tyrobutyricum	7	6	31	45	0	27	8	21	0	0	0	9
Clostridium acetobutylicum	6	18	45	16	9	20	23	77	28	10	0	54
Clostridium kluyveri	6	16	39	20	7	74	13	14	5	0	21	8
Clostridium cellulovorans	6	18	52	6	0	18	17	21	0	0	10	27
Clostridium fermenticellae	5	5	18	10	0	23	73	13	0	6	0	0
Lactonifactor longoviformis	129	182	542	546	378	280	271	356	97	134	914	2890
Caloramator sp. E03	29	15	44	17	5	26	7	16	264	70	0	0
Caloramator sp. mosi_1	17	13	50	7	0	36	0	37	7	8	7	22
Haloimpatiens sp. FM7315	11	27	15	0	0	0	0	33	6	0	6	0
Haloimpatiens sp. FM7330	11	11	47	6	6	8	0	29	0	0	0	0
Haloimpatiens lingqiaonensis	14	44	33	0	61	23	38	21	0	0	0	11
Candidatus Sarcina troglodytae	23	20	56	26	8	44	15	137	7	0	0	0
Crassaminicella thermophila	5	7	25	12	6	10	8	14	0	0	0	5
Wukongibacter baidiensis	8	5	17	6	5	17	11	10	0	0	6	20
Oceanirhabdus sp. W0125-5	9	8	23	5	6	23	10	10	19	6	0	10
Proteiniclasticum sp. QWL-01	7	10	0	14	14	14	169	36	0	5	20	22
Hathewaya histolytica	7	0	55	23	0	17	0	22	8	0	0	5
Intestinimonas butyriciproducens	1439	2409	1419	1992	3262	2091	13124	3017	4202	3804	8014	5206
Flintibacter sp. KGMB00164	182	195	49	284	262	258	430	386	145	201	662	1040
Butyricicoccus porcorum	279	526	344	285	230	296	470	808	185	137	379	1222
Butyricicoccus sp. GAM44	51	63	0	6	8	32	0	35	23	35	0	0
Agathobaculum massiliense	515	502	131	152	836	173	208	338	156	153	490	718
Agathobaculum sp. NTUH-O15-33	83	68	20	69	248	59	71	86	32	56	44	117
Intestinibacillus sp. NTUH-41-i26	146	200	255	345	186	164	71	141	104	100	465	427
Acutalibacter muris	333	535	290	211	240	221	318	245	46	96	333	172
Caproiciproducens sp. R1	43	30	0	26	40	32	101	49	73	56	33	33
Caproicibacter fermentans	36	66	0	39	28	10	32	44	44	27	89	63
Aristaeella lactis	33	44	12	20	122	53	158	79	42	25	138	75
Aristaeella hokkaidonensis	29	45	0	24	89	79	675	541	31	18	40	106
Desulfitobacterium nosdiversum	19	0	6	0	0	0	0	0	0	0	0	0
Desulforamulus ferrireducens	11	6	0	17	0	26	0	16	0	0	0	20
Desulforamulus ruminis	9	9	5	34	23	7	14	12	24	14	10	25
Phosphitispora sp. TUW77	6	0	6	0	0	0	7	10	0	7	0	0
Candidatus Formimonas warabiya	5	5	0	0	0	0	0	0	0	9	0	7
Alkalicella caledoniensis	9	0	0	5	0	5	22	28	6	15	0	0
Intestinibacter bartlettii	16440	15786	27703	8762	3957	57	798	71991	1000	8	5906	8645
Clostridioides difficile	2133	2819	1957	3327	2941	17969	4879	4914	619	1354	11496	11283
Romboutsia ilealis	645	2494	4718	12173	626	363	25	456	410	0	945	1064
Romboutsia sp. 13368	127	449	909	2199	100	160	44	203	74	12	222	184
Romboutsia sp. CE17	69	178	286	530	26	14	70	429	23	25	67	64
Romboutsia hominis	28	51	103	226	16	24	19	124	47	14	35	25
Terrisporobacter petrolearius	261	262	194	98	60	76	1004	1073	33	0	54	71
Terrisporobacter vanillatitrophus	92	114	43	29	14	13	619	487	17	0	15	52
Terrisporobacter mayombei	93	90	32	38	0	0	450	345	24	24	15	31
Terrisporobacter glycolicus	83	100	41	33	0	0	493	439	0	0	17	38
Paraclostridium bifermentans	150	48	347	248	22	79	9	60	21	0	12	10
Paraclostridium sordellii	47	86	116	178	26	118	73	212	25	10	22	22
Paraclostridium ghonii	10	18	46	62	20	9	29	44	0	0	7	10
Paraclostridium dentum	8	35	12	0	0	25	22	29	0	10	20	23
Peptostreptococcus anaerobius	35	86	160	240	58	75	33	70	33	64	64	160
Peptostreptococcus equinus	8	10	13	14	0	13	0	7	0	0	5	12
Tepidibacter aestuarii	10	10	0	7	49	8	13	22	0	0	0	0
Tepidibacter hydrothermalis	7	14	24	22	0	79	5	20	0	145	5	6
Peptacetobacter sp. AB845	9	26	18	8	0	0	0	18	0	0	0	0
Peptacetobacter hiranonis	8	12	25	28	8	0	11	65	26	0	16	17
Emergencia sp. JLR.KK010	89	97	202	250	348	146	267	372	553	185	69	249
Emergencia timonensis	61	93	43	45	49	34	33	16	12	47	39	61
Mogibacterium diversum	87	95	39	122	0	47	41	80	47	42	17	40
Mogibacterium pumilum	15	10	8	8	10	17	10	44	9	19	14	8
Mogibacterium neglectum	10	11	0	15	21	5	8	21	0	8	25	33
Aminipila terrae	13	17	22	23	12	68	12	16	6	6	34	62
Aminipila luticellarii	12	6	32	17	11	64	31	32	38	10	142	129
Aminipila butyrica	10	0	0	8	28	6	34	53	0	0	0	11
Ihubacter sp. rT4E-8	37	45	29	66	61	102	34	66	9	20	41	101
Anoxybacterium hadale	5	5	12	15	0	8	6	10	5	11	5	12
Filifactor alocis	12	8	7	22	19	26	17	60	9	8	0	13
Alkaliphilus sp. B6464	9	12	10	9	0	9	0	10	0	0	0	0
Caminicella sporogenes	7	9	22	21	0	35	21	49	7	0	0	0
Monoglobus pectinilyticus	7439	3840	70	49	68	102	354	134	37	38	139	152
Christensenella minuta	1052	1286	226	361	654	632	452	1059	109	88	2345	1373
Christensenella massiliensis	171	166	18	30	363	435	284	412	214	488	520	657
Christensenella sp. MSJ-20	54	108	16	20	489	355	678	919	40	36	603	77
Thermoanaerobacterium sp. CMT5567-10	12	17	7	0	21	47	0	12	0	13	0	0
Thermoanaerobacterium thermosaccharolyticum	8	0	0	0	0	0	16	27	0	0	0	8
Candidatus Desulforudis audaxviator	5	0	0	0	0	0	5	0	0	0	0	0
Halocella sp. SP3-1	6	0	0	0	0	0	0	0	0	0	0	0
Anoxybacter fermentans	5	0	14	0	0	5	0	0	268	109	0	0
Natranaerofaba carboxydovora	10	10	0	49	6	18	0	20	0	0	0	0
Koleobacter methoxysyntrophicus	8	12	13	42	6	46	0	26	6	0	0	0
Faecalibacillus intestinalis	19624	64048	155082	170046	44278	66710	9349	19350	4662	13813	81604	37670
Thomasclavelia ramosa	273	274	1674	1569	242	1697	133625	544	297	277	11879	3310
Thomasclavelia spiroformis	93	443	143	632	5662	46	338	41	0	0	66	146
Erysipelatoclostridium sp. An173	27	55	56	22	326	68	37	24	22	25	67	30
Catenibacterium mitsuokai	119	173	166	198	119	728	86	125	237203	120186	1712	3883
Catenibacterium sp. co_0103	58	158	92	99	151	1427	95	116	37598	19024	134	51
Tannockella kyphosi	13	27	36	17	33	32	31	28	30	13	34	24
Turicibacter bilis	7959	667	1921	20831	189	139	41	601	168	14	4144	3684
Turicibacter sanguinis	1804	1130	270	272	189	23	0	14849	51	0	219	1637
Turicibacter sp. H121	2080	157	641	6201	22	37	12	207	31	0	1377	903
Turicibacter sp. TJ11	45	23	26	124	429	5	79	18	5	0	108	103
Holdemania massiliensis	1814	3165	4464	15350	811	715	456	650	348	644	5534	2438
[Eubacterium] hominis	171	196	119	208	1458	1919	338	648	1184	214	679	601
Massilimicrobiota timonensis	435	726	313	456	811	283	457	337	0	0	1288	715
Solobacterium moorei	65	97	22	38	45	32	7	26	31	65	2989	20
Intestinibaculum porci	46	41	19	29	24	54	50	32	36	63	6	20
Longicatena caecimuris	46	404	3418	32116	138	441	145	405	128	157	521	829
Allocoprobacillus halotolerans	41	43	62	54	57	116	56	107	45	50	62	29
Bulleidia sp. zg-1006	36	48	120	159	6	19	50	21	7	37	31	66
Amedibacterium intestinale	27	73	282	854	97	77	195	274	114	73	163	248
Allobaculum sp. Allo2	9	0	0	0	0	13	0	28	13	13	22	7
Faecalibaculum rodentium	6	15	21	38	16	30	23	75	33	33	27	13
Streptococcus salivarius	4580	4037	3603	11826	444	403	720	1028	6503	2217	45241	10652
Streptococcus suis	7013	1965	1353	2765	250	450	1483	983	2015	1539	1749	697
Streptococcus sp. FSL K6-1323	1213	1196	85	508	0	46	26	218	2202	167	625	243
Streptococcus sp. oral taxon 061	91	26	52	41	26	10	13	24	111	60	47	49
Streptococcus sp. Marseille-Q3533	77	46	16	33	28	15	16	21	75	38	42	30
Streptococcus sp. FSL R7-0248	222	155	144	384	50	0	25	35	76	111	2441	373
Streptococcus sp. FDAARGOS_192	140	189	33	137	18	27	15	19	222	147	4385	702
Streptococcus sp. ZY1909104	57	117	68	109	47	224	50	80	60	53	106	145
Streptococcus sp. SN-1	54	24	13	49	11	27	0	0	33	0	60	13
Streptococcus sp. A12	41	129	8	19	16	13	37	21	59	60	475	241
Streptococcus sp. KHUD_013	43	129	25	40	12	11	15	35	102	89	514	233
Streptococcus sp. LPB0220	36	36	154	283	53	23	0	28	375	222	661	357
Streptococcus sp. HSISS3	49	41	0	29	17	0	0	0	55	35	385	68
Streptococcus sp. FSL W7-1342	163	80	144	633	0	0	0	41	259	0	1547	547
Streptococcus sp. K0074	34	13	0	31	0	20	0	0	30	0	47	11
Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006	23	15	0	21	9	0	8	24	33	18	28	28
Streptococcus sp. KHUD_014	21	15	21	22	11	17	17	16	36	30	29	32
Streptococcus sp. oral taxon 431	23	0	0	0	13	0	13	20	42	48	47	35
Streptococcus sp. HSISS2	39	43	23	60	0	0	0	0	123	0	406	131
Streptococcus sp. CP1998	28	49	43	120	17	45	0	25	217	128	232	140
Streptococcus sp. KHUD_015	18	0	22	39	0	9	8	0	0	15	30	20
Streptococcus sp. KHUD_012	21	62	96	254	48	21	10	26	337	186	507	281
Streptococcus sp. KHUD_011	19	25	14	54	11	0	0	0	23	15	15	0
Streptococcus sp. 11-4097	13	16	0	33	9	47	0	0	12	20	18	20
Streptococcus parasanguinis	394	314	535	1448	249	112	128	214	4020	905	2503	2762
Streptococcus mitis	213	221	175	475	99	75	20	26	261	171	299	154
Streptococcus gwangjuensis	28	12	0	18	13	0	0	0	16	29	25	22
Streptococcus toyakuensis	16	21	0	56	0	0	0	22	0	0	17	0
Streptococcus sanguinis	198	339	174	408	306	59	135	136	472	203	545	192
Streptococcus thermophilus	158	15511	745	252	752	746	1367	132	17542	501	75675	40612
Streptococcus oralis	189	91	109	143	64	72	32	52	524	761	295	260
Streptococcus vestibularis	116	162	70	134	0	7	0	0	89	62	372	266
Streptococcus parapneumoniae	142	235	0	27	0	0	0	0	25	0	0	13
Streptococcus parasuis	82	96	340	225	241	146	50	81	107	205	281	166
Streptococcus gordonii	58	124	23	116	132	54	8	14	263	230	391	318
Streptococcus agalactiae	275	454	128	430	55	545	589	638	124	220	313	1002
Streptococcus gallolyticus	126	68	24	22	0	0	0	220	102	20	30	54
Streptococcus anginosus	77	172	54	71	109	33	19	9	77	65	1023	563
Streptococcus pasteurianus	117	512	474	660	2840	1324	164	994	310	572	468	4363
Streptococcus infantis	30	13	18	46	23	0	0	10	90	25	112	63
Streptococcus australis	54	146	26	56	25	34	23	31	116	50	865	428
Streptococcus pneumoniae	31	39	84	123	81	48	131	124	76	114	1619	3245
Streptococcus equinus	23	22	34	50	8	35	102	242	10	24	34	38
Streptococcus nidrosiense	26	43	9	12	0	0	6	16	26	9	66	22
Streptococcus lutetiensis	23	56	40	63	16	51	13	158	31	43	24	0
Streptococcus lingualis	30	22	94	175	47	22	0	17	316	138	736	334
Streptococcus cristatus	13	37	15	105	46	25	24	25	89	62	77	83
Streptococcus canis	11	69	63	26	14	54	0	8	7	5	5	47
Streptococcus dentalis	23	13	74	118	17	16	0	0	200	102	239	159
Streptococcus urinalis	10	0	0	7	0	8	9	5	0	0	31	5
Streptococcus lactarius	8	14	20	29	11	0	0	7	48	17	72	78
Streptococcus ilei	14	40	25	34	7	14	20	66	169	36	697	235
Streptococcus infantarius	11	10	0	0	0	25	0	0	0	0	0	0
Streptococcus mutans	5	60	178	150	78	35	0	18	19	68	56	20
Lactococcus lactis	94	171	0	49	50	62	18	32	20	0	23	13694
Lactococcus cremoris	31	178	79	227	138	228	264	63	185	19	248	950
Lactococcus petauri	20	28	33	42	68	47	14	0	48	44	422	686
Pseudolactococcus raffinolactis	49	85	0	52	10	17	0	20	0	0	0	0
Ligilactobacillus ruminis	205	217	120	132	70	496	82	341	84	132	161	297
